# The Voronoi cells of the 512 games (games.csv) on the unit disk, as every sunflower map draws them: the Voronoi
# diagram of the 512 disk points, their 512 inversions in the unit circle and 32 far points on the circle of radius 3,
# each cell of a real point clipped to the unit circle by Sutherland-Hodgman against a circumscribed 64-gon, the cut
# vertices pushed back onto the circle (DiskM2WF/Opt/vor.py, cells(); common.games.compute_cells).  The cells tile
# the disk up to the 64-gon (total area 99.94% of pi).
# Columns:
#   ipt   the cell (games.csv); rows of one cell are consecutive, cells in ipt order
#   k     the vertex, 0..n-1, in the polygon's cyclic order (as scipy's Voronoi gave it; the orientation varies)
#   x, y  the vertex on the unit disk, float64 written round-trip exact
ipt,k,x,y
38,5,0.24643241586260187,-0.2085525403623851
38,6,0.18022109431325628,-0.19738932762254957
39,0,-0.10203350850515099,0.272896559432757
39,1,-0.10071172091963712,0.2597442340819985
39,2,-0.04167884932441962,0.22421479895381569
39,3,-0.00928788783970999,0.24016230916063808
39,4,0.00012222254646177162,0.27010208591161794
39,5,-0.04029449146463954,0.3231983122732436
39,6,-0.05264001089232131,0.3247380339356633
40,0,-0.10327220879014928,-0.26347108770690414
40,1,-0.12201934342433611,-0.19720993973309103
40,2,-0.15939906857266173,-0.186760524399665
40,3,-0.18421046762336357,-0.2013760215728662
40,4,-0.1909728140246852,-0.26731435466477366
40,5,-0.18189440678528135,-0.2780591582978438
40,6,-0.1099910221330031,-0.2725906216699778
41,0,0.2745795702546258,0.024665646630120053
41,1,0.24853114460809697,0.030003817170840007
41,2,0.22631337426540524,0.06484910969761887
41,3,0.258472551456721,0.1262254728521393
41,4,0.2671809701577119,0.12798755468848777
41,5,0.3249517604293868,0.08354997657019736
41,6,0.32423283262415026,0.06807863720133558
42,0,-0.20690950691477192,0.1490534917915906
42,1,-0.21409842890305958,0.10584762981184465
42,2,-0.27987245245279097,0.08328060514684724
42,3,-0.28571985756554075,0.08677454548940035
42,4,-0.29920541070740453,0.15874901223434237
42,5,-0.28695803745618526,0.17087868019177677
42,6,-0.221540967329305,0.1688824465582523
43,0,0.05009829627270998,-0.2765713996465502
43,1,0.05228561775903286,-0.2546629464351499
43,2,0.08840114595187532,-0.22562882072474433
43,3,0.1522413230729678,-0.2544432751510007
43,4,0.15360770498780157,-0.2589072855475994
43,5,0.11491106935796477,-0.3219678688400032
43,6,0.09622716615611006,-0.32257792105055405
44,0,0.06194970023623142,0.29685049669261193
44,1,0.060879448961302235,0.2945826465895648
44,2,0.0878727795397457,0.22938100214897653
44,3,0.13626022569794558,0.22674900399625283
44,4,0.15113467143388937,0.24020799035307477
44,5,0.14873515051863673,0.3049628400032219
44,6,0.13355016402541825,0.3181289884171808
45,0,-0.3160365445300368,-0.14611508774989748
45,1,-0.24801469055389944,-0.1785015187238354
45,2,-0.24756418806197572,-0.17831484686878302
45,3,-0.22251088441381295,-0.11185542806808833
45,4,-0.25837269851056166,-0.07600124361505958
45,5,-0.2761516094794038,-0.07598851771595666
45,6,-0.31841377825835493,-0.12486110835062601
46,0,0.3061420479369012,-0.03697658677939029
46,1,0.24276905330166948,-0.06798026655984736
46,2,0.24577292713897625,-0.12106840494969226
46,3,0.25722211675469125,-0.13141179728200747
46,4,0.32130038960840174,-0.12439719822212134
46,5,0.3347393412604586,-0.10615458731367486
47,0,-0.13527950038976633,0.2165888008376138
47,1,-0.10071172091963712,0.2597442340819985
47,2,-0.10203350850515099,0.272896559432757
47,3,-0.15349094325754034,0.311430122407975
47,4,-0.17709911210721133,0.30688505475151834
