# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
126,15,CCCC,1,342113,31734114
127,15,CCCC,1,25784311646,26237209846
128,0,DDDD,0,13269294575,10588815819
129,0,DDDD,0,328815,31402793
129,1,CDDD,0,350559,31583142
129,6,DCCD,0,386182,31866266
129,8,DDDC,0,330700,31365812
129,9,CDDC,1,4999125190,31867322
129,14,DCCC,0,387339,31883337
129,15,CCCC,1,22231369452,17494672176
131,0,DDDD,0,17887360273,6056430144
131,1,CDDD,0,16917264864,573353179
132,9,CDDC,1,348576,31662018
132,15,CCCC,1,25039441937,25965419773
134,0,DDDD,0,19516961323,6636409073
134,1,CDDD,0,20464243966,42027370409
134,8,DDDC,0,406521,31680755
134,9,CDDC,1,9997930150,31791904
134,14,DCCC,0,322977,31455763
134,15,CCCC,1,343449,31761228
135,15,CCCC,0,311329758,4369371359
136,0,DDDD,0,16952944324,4877333753
136,1,CDDD,0,16085293155,2232910138
137,0,DDDD,0,321400,31380528
137,1,CDDD,0,333677,31470352
137,8,DDDC,0,319499,31373680
137,9,CDDC,1,345564,31660584
137,14,DCCC,0,357137,31639220
137,15,CCCC,1,25104608299,29629707036
139,0,DDDD,0,15944090257,14736084449
139,1,CDDD,0,16025751935,33739413458
139,9,CDDC,1,17624410814,32053577
140,15,CCCC,1,24600221956,33486666883
142,0,DDDD,0,7491454150,31464742
142,1,CDDD,0,7502392148,31745840
142,6,DCCD,0,377116,32002122
142,8,DDDC,0,374236,31439927
142,9,CDDC,1,14996811178,32254498
142,14,DCCC,0,366889,32037076
142,15,CCCC,1,9951113276,26004792159
144,0,DDDD,0,20829618624,2829333706
144,1,CDDD,0,20221715188,1892377975
145,8,DDDC,0,317313,31357827
145,9,CDDC,1,339981,31620054
145,15,CCCC,1,25371938310,26248792084
147,0,DDDD,0,24352476777,14467909008
147,1,CDDD,0,25622755394,34230458038
147,8,DDDC,0,357660,31679214
147,9,CDDC,1,388113,31771745
147,15,CCCC,1,336661,31726742
148,15,CCCC,1,25172509974,30372902382
149,0,DDDD,0,13890924749,9516499342
149,1,CDDD,0,13111131456,1228554995
150,0,DDDD,0,321111,31394843
150,1,CDDD,0,335075,31512005
150,6,DCCD,0,361376,31710097
150,8,DDDC,0,320083,31361903
150,9,CDDC,1,345686,31625855
