# Memory two: the strict Nash equilibria among the 65536 binary memory-two strategies at eps = 1e-4, at each of the
# 512 games (data/games), and the share of the population on them (SI Figures 6d-f and 7d-f). One row per game, in
# ipt order. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strict: all sixteen one-flip deviations earn strictly less against the resident than it earns against itself, which
# at eps > 0 is strictness against all 65535 other memory-two strategies; decided exactly on the integer half-planes of
# MapBinM2's exact/exactcoef.py (DiskM2WF ne16.verdicts). Made by provenance/strict/reduce_strict.py.
# Columns:
#   ipt, u, v          the game, (R, S, T, P) = (1, u, 1 + v, 0), as in data/games/games.csv
#   n_strict           number of strict Nash equilibria at eps = 1/10000 (SI Figure 6d)
#   n_weak             number of weak equilibria (all sixteen one-flip gains <= 0); equal to n_strict at every game
#   n_eff              number of strategies efficient in the limit eps -> 0 at the game (7639 mutual cooperators below
#                      the switch line u + v = 1, 3072 alternators above it)
#   n_eff_strict       number of strict equilibria that are efficient in the limit (SI Figure 7d)
#   n_strict_float64   number with a positive margin pi(s,s) - max_t pi(t,s) in the double-precision brute-force scan
#                      of all 65535 deviations (provenance/strict/bruteforce), as the scan wrote it; see m2_float64_check.csv
#   share_F2, share_F1         share of the population on the strict equilibria (SI Figure 6e, 6f)
#   share_eff_F2, share_eff_F1 the same for the efficient strict equilibria (SI Figure 7e, 7f)
# Each share equals the sum (numpy.sum, rows in file order) of pi_F2 (pi_F1) over the game's rows of m2_sets.csv, bit for bit.
ipt,u,v,n_strict,n_weak,n_eff,n_eff_strict,n_strict_float64,share_F2,share_F1,share_eff_F2,share_eff_F1
138,2.015625,1.337890625,0,0,3072,0,0,0.0,0.0,0.0,0.0
139,-2.4013671875,0.376953125,35,35,7639,11,35,0.014777318852636048,0.15573825205292277,0.013549649179412898,0.15573055741286426
140,1.5244140625,-1.9091796875,1,1,7639,1,1,0.0009175477900512728,0.007061240272189284,0.0009175477900512728,0.007061240272189284
141,0.1669921875,2.44921875,0,0,3072,0,0,0.0,0.0,0.0,0.0
142,-1.7861328125,-1.701171875,572,572,7639,128,570,0.012279591358131867,0.045226010070762046,0.012278784038132673,0.0451554533109558
143,2.478515625,0.048828125,0,0,3072,0,0,0.0,0.0,0.0,0.0
144,-1.869140625,1.646484375,19,19,7639,4,19,0.011600168558651008,0.029448150530538265,0.0066349172216252274,0.02942895417055242
145,0.267578125,-2.48828125,92,92,7639,56,92,0.010182539792089551,0.0061837050262050445,0.010182475612089788,0.0061781709662812765
146,1.4912109375,2.025390625,0,0,3072,0,0,0.0,0.0,0.0,0.0
147,-2.4794921875,-0.48828125,224,224,7639,117,222,0.029895720897413654,0.05794103759965346,0.02971655029289762,0.05792224187943576
148,2.16796875,-1.3203125,1,1,7639,1,1,2.9879998918823396e-08,0.0035064795500314287,2.9879998918823396e-08,0.0035064795500314287
149,-0.7099609375,2.4501953125,15,15,3072,0,15,0.00025658667834996913,9.40488008451602e-06,0.0,0.0
150,-1.13671875,-2.296875,537,537,7639,128,537,0.019710179595132656,0.045094713233327206,0.019709471895131062,0.045031529613491855
151,2.4013671875,0.9306640625,0,0,3072,0,0,0.0,0.0,0.0,0.0
152,-2.41015625,0.9404296875,27,27,7639,11,27,0.012409022160610775,0.1915452377475563,0.009188578477798469,0.19153767100757232
153,1.1474609375,-2.33203125,1,1,7639,1,1,0.0009138305315086522,0.01903753731834627,0.0009138305315086522,0.01903753731834627
154,0.732421875,2.505859375,0,0,3072,0,0,0.0,0.0,0.0,0.0
155,-2.2431640625,-1.359375,586,586,7639,128,584,0.020037276728874998,0.041253551572317165,0.020036397928881587,0.04117746855216561
156,2.583984375,-0.515625,1,1,3072,0,0,0.00028371409229183456,5.887400193906951e-07,0.0,0.0
157,-1.564453125,2.1357421875,15,15,7639,0,15,0.004489765139735017,3.1950399805532837e-06,0.0,0.0
158,-0.2900390625,-2.6435546875,259,259,7639,106,259,0.01713609567633072,0.030130816189977046,0.017135839596329482,0.03010732802998048
159,2.0087890625,1.7607421875,0,0,3072,0,0,0.0,0.0,0.0,0.0
160,-2.6826171875,0.05859375,35,35,7639,11,35,0.003985537064689024,0.0920228941796287,0.0010979108037317026,0.09201647379958561
