# Memory two: the 160 (game, strategy) pairs at which the double-precision brute-force scan (every resident against all
# 65535 alternatives; provenance/strict/bruteforce/nescan.f90) disagrees with the exact one-flip test. At every other
# of the 512 x 65536 pairs the two agree. In all 160 the exact test finds a strict equilibrium and the scan does not.
# The re-adjudication in quadruple precision (bruteforce/neq.f90, the same payoff code compiled with every double
# promoted to real(16)) agrees with the exact test at all 160. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt, gid           the game (gid = 2000 + ipt)
#   s                  the resident (the code of m2_sets.csv)
#   margin_float64     pi(s,s) - max_{t != s} pi(t,s) as the double-precision scan computed it (-2.22e-16, -1.11e-16, 0)
#   margin_quad        the same margin in quadruple precision, as QUADFIX.dat prints it (all positive, 1.5e-18 to 2.9e-16)
#   pi_F2, pi_F1       the resident's abundance in the two runs (as in m2_sets.csv)
ipt,gid,s,margin_float64,margin_quad,pi_F2,pi_F1
270,2270,63359,0.0,1.335419736615e-16,5.820000033505876e-09,1.5595999655519806e-07
270,2270,65535,0.0,3.354527694276e-17,3.3860001002229004e-08,1.530799962907838e-07
279,2279,65535,0.0,1.328272295412e-16,9.518869778657926e-05,1.2888000370857603e-06
291,2291,63359,0.0,1.965275842195e-16,3.010000069943006e-08,1.609000004485791e-07
291,2291,65535,0.0,9.651829352799e-17,2.589399911002812e-07,1.9485999250957604e-07
292,2292,65535,0.0,2.297786340376e-16,9.03209582547101e-05,5.651399838067396e-07
300,2300,65535,0.0,8.313521830843e-17,2.2645639597509132e-05,3.92460008331927e-07
312,2312,63359,0.0,2.684005282011e-16,5.412000094267695e-08,1.7724399911340547e-06
312,2312,65535,0.0,1.683768665146e-16,4.659999942986184e-09,1.6154999724342024e-06
321,2321,65535,0.0,2.241003349072e-17,6.839688273372318e-05,4.27380000325825e-07
325,2325,63359,0.0,1.682976733609e-16,6.700000105436381e-09,1.5656000588945142e-07
325,2325,65535,0.0,6.829402724004e-17,1.641999957039095e-08,1.5391999856489732e-07
334,2334,65535,0.0,1.391846306561e-16,4.785269995262487e-05,3.853619996785073e-06
344,2344,61449,0.0,1.203263896587e-16,1.278000017193648e-08,1.5041999338787737e-07
346,2346,63359,0.0,2.493490247751e-16,5.928000131922065e-08,1.4521599527603483e-06
346,2346,65535,0.0,1.493291724367e-16,4.27280013799779e-07,9.443400037925661e-07
355,2355,65535,0.0,7.475093011955e-17,4.2575138647984036e-05,4.2470000359889184e-07
359,2359,63359,0.0,1.29421825607e-16,2.3964199494454115e-05,1.5379999986094823e-07
359,2359,65535,0.0,2.942595271186e-17,4.539999930603725e-09,1.5441999102156882e-07
368,2368,65535,0.0,2.116380855369e-16,4.113445903135389e-05,2.9463999338271307e-07
380,2380,63359,0.0,2.211157346726e-16,6.289799913378653e-07,1.8324000524206268e-07
380,2380,65535,0.0,1.211015275805e-16,0.00011786705754505836,2.23940006997349e-07
389,2389,65535,0.0,1.44961240264e-16,8.048384170325556e-05,4.022200017971835e-07
410,2410,65535,0.0,5.905083083572e-17,1.676173995438111e-05,4.152200001917626e-07
414,2414,63359,0.0,1.800857654073e-16,1.6499999602587952e-08,1.5391999834105645e-07
414,2414,65535,0.0,8.007976225752e-17,7.420000176018084e-09,1.522000017535071e-07
423,2423,65535,0.0,2.44661451801e-16,8.183271716335576e-05,7.016399840747131e-07
444,2444,65535,0.0,1.556330144565e-16,2.2199999660023096e-09,4.848799889196169e-07
448,2448,63359,-1.1102230246251565e-16,1.174658554563e-16,1.1600000061525063e-08,1.5512000667754917e-07
448,2448,63903,0.0,8.743382151774e-17,8.07999977333918e-09,1.5429999772290494e-07
448,2448,65535,-1.1102230246251565e-16,1.747237315742e-17,4.299999907956047e-09,1.5307999583814665e-07
465,2465,65535,0.0,2.911818076699e-17,3.1600000453515993e-09,3.703800051596169e-07
499,2499,65535,0.0,2.27119466467e-16,5.287140092420608e-06,3.5190001246515885e-07
