# Memory two: one row per (game, strategy) at which the strategy is a strict Nash equilibrium at eps = 1e-4 (65547 rows).
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strategy code s = 0..65535: bit k of s (k = 0..15) is 1 if the strategy intends C in state k = 4 x (the most recent outcome) + (the outcome before), outcomes 0 CC, 1 CD, 2 DC, 3 DD from the focal player's side (MapBinM2's exactcoef.py); ALLD 0, ALLC 65535, the memory-one strategy with answers b_j embeds as 15 x sum_j b_j 16^j.
# Columns:
#   ipt                the game (data/games/games.csv)
#   s                  the strategy
#   efficient          1 if efficient in the limit eps -> 0 at this game (SI Figure 7)
#   mutual_cooperator  1 if its self-play in the limit is all CC (one of the 7639)
#   alternator         1 if its self-play in the limit alternates CD, DC perfectly (one of the 3072); 0 in every row
#   float64_strict     1 if the double-precision brute-force scan also found it strict (0 in the 160 rows of m2_float64_check.csv)
#   pi_F2, pi_F1       its time-averaged abundance in the run, normalised so that the 65536 abundances sum to 1
ipt,s,efficient,mutual_cooperator,alternator,float64_strict,pi_F2,pi_F1
3,62505,1,1,0,1,0.0013493279692226442,1.848080048922997e-06
3,62511,1,1,0,1,1.3200000202603603e-08,5.8482201066218095e-06
3,62777,1,1,0,1,6.103999793861314e-08,5.298600179390622e-07
3,62783,1,1,0,1,3.638006091549432e-05,6.4133601062131815e-06
3,63081,1,1,0,1,3.722000129931792e-08,2.15668001449363e-06
3,63087,1,1,0,1,0.0003345590957553574,1.2618380441809452e-05
3,63353,1,1,0,1,1.2660000157980703e-08,5.278200213201226e-07
3,63359,1,1,0,0,8.060000310766746e-08,1.2578099830906102e-05
3,63624,0,0,0,1,1.787999970115699e-08,3.1133998889382584e-07
3,63625,1,1,0,1,0.00022729193731144473,2.7878400072056755e-06
3,63631,1,1,0,1,1.4350000297633855e-07,9.44151999153174e-06
3,63897,1,1,0,1,0.00015887875632105818,1.6724800412527794e-06
3,63903,1,1,0,0,1.5739999524318086e-08,0.0007977121287975999
3,64201,1,1,0,1,0.0007750684161785145,2.801539953291383e-06
3,64207,1,1,0,1,3.510000112413172e-08,0.001187493211393628
3,64473,1,1,0,1,0.0016412294933705707,1.1658399915167554e-06
3,64479,1,1,0,1,1.3620000237310305e-08,0.0019127371514982253
3,64681,1,1,0,1,6.185367964720531e-05,2.8674201116014625e-06
3,64687,1,1,0,1,1.0619999989405299e-08,4.079439810352384e-06
3,64953,1,1,0,1,1.1640000073693002e-08,6.670799744182074e-07
3,64959,1,1,0,1,5.6400000219722005e-09,6.35651987050406e-06
3,65257,1,1,0,1,1.681999961356389e-08,8.812399995438633e-07
3,65263,1,1,0,1,9.008000033833361e-08,1.3899640199677193e-05
3,65529,1,1,0,1,9.94916990643773e-05,5.05979983955286e-07
3,65535,1,1,0,0,4.4571999064679517e-07,9.025359771773358e-06
4,32768,0,0,0,1,3.5800000723321883e-09,2.9881999809348667e-07
4,32774,0,0,0,1,4.4799999242929225e-09,3.1626001374817165e-07
4,32776,0,0,0,1,3.799999868377777e-09,3.2662001105314617e-07
4,32777,1,1,0,1,1.3340000208745161e-08,9.472399824972451e-07
4,32782,0,0,0,1,3.799999868377777e-09,3.26860003967588e-07
4,32783,1,1,0,1,6.1600000624362215e-09,1.0823799812507759e-06
4,33049,1,1,0,1,5.2960000802089385e-08,6.016200018455419e-07
4,33055,1,1,0,1,1.9139999797490037e-08,6.360459792937136e-06
4,33353,1,1,0,1,1.0339999962060698e-08,1.3501199874293392e-06
4,33625,1,1,0,1,9.819999919302057e-09,5.181000233527614e-07
4,33833,1,1,0,1,1.1960000095270308e-08,5.486199939050413e-07
4,34105,1,1,0,1,5.741999939247011e-08,5.5688002478694e-07
4,34409,1,1,0,1,3.0239998933865713e-08,7.295000159852403e-07
4,34681,1,1,0,1,0.0005579288114729763,5.108399818955101e-07
4,34952,0,0,0,1,3.540000069043062e-09,3.5919998710504065e-07
4,34953,1,1,0,1,1.2380000129806132e-08,1.026380005036333e-06
4,35225,1,1,0,1,7.27999988807823e-08,5.732600243666577e-07
4,35529,1,1,0,1,1.8737999586798635e-07,1.5531600184495573e-06
4,35801,1,1,0,1,1.015999994725963e-08,5.408800234623251e-07
4,36009,1,1,0,1,2.9680000664174785e-08,6.757600204179741e-07
4,36281,1,1,0,1,8.239999789381573e-09,5.165999823723715e-07
4,36585,1,1,0,1,2.1179999965235473e-08,6.873199822951579e-07
4,36857,1,1,0,1,1.3340000208745161e-08,5.378399805780841e-07
4,36864,0,0,0,1,8.459999807471768e-09,3.088800042554088e-07
4,36865,0,0,0,1,4.899999958828747e-09,3.1415999048167706e-07
