# Memory one: the strict Nash equilibria among the 16 binary memory-one strategies at eps = 1e-4, at each of the
# 512 games (data/games), and the share of the population on them (SI Figures 6a-c and 7a-c). One row per game,
# in ipt order. Strategy s = 0..15: bit j of s is 1 if s cooperates after outcome j = 0 CC, 1 CD, 2 DC, 3 DD
# (own action first); ALLD 0, Grim 1, TFT 5, WSLS 9, ALLC 15. A mask is sum over the strategies s in the set of 2^s.
# F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Made by provenance/strict/reduce_strict.py from FinalFigures/strictne.py (exact rational arithmetic).
# Columns:
#   ipt, u, v          the game, (R, S, T, P) = (1, u, 1 + v, 0), as in data/games/games.csv
#   n_strict           number of strict Nash equilibria among the 16 at eps = 1/10000 (SI Figure 6a)
#   n_weak             number of weak (non-strict inequality) equilibria; equal to n_strict at every game
#   strict_mask        the strict equilibria, as a mask
#   n_eff_strict       number of them that are efficient in the limit eps -> 0 (SI Figure 7a)
#   eff_strict_mask    those, as a mask
#   eff_mask           the strategies efficient in the limit at this game (CCCC, CDDC, CCCD below the switch line)
#   nash_limit_mask    the strategies stable in the limit eps -> 0, ties admitted (DiskM1WF's exact classification)
#   ntot_F2, ntot_F1   the number of sampled individual-generations of the run (the denominator of a share)
#   share_F2, share_F1         the share of the population on the strict equilibria (SI Figure 6b, 6c)
#   share_eff_F2, share_eff_F1 the same for the efficient strict equilibria (SI Figure 7b, 7c)
# Each share equals sum of c_F2 (c_F1) over the game's rows of m1_sets.csv, divided by ntot_F2 (ntot_F1), exactly.
ipt,u,v,n_strict,n_weak,strict_mask,n_eff_strict,eff_strict_mask,eff_mask,nash_limit_mask,ntot_F2,ntot_F1,share_F2,share_F1,share_eff_F2,share_eff_F1
58,-1.392578125,-0.3203125,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.99975294752,0.2976587829,0.99971243174,0.2935888127
59,1.2548828125,-0.7109375,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.49109297772,0.85605224122,0.49109297772,0.85605224122
60,-0.44921875,1.384765625,1,1,1,0,0,33408,1,50000000000,50000000000,0.31732862254,0.17590160826,0.0,0.0
61,-0.6103515625,-1.3369140625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.58317349374,0.59455358668,0.58314131654,0.59194773584
62,1.365234375,0.5791015625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
63,-1.4111328125,0.4990234375,3,3,515,1,512,33408,515,50000000000,50000000000,0.97914104882,0.9652914054,0.89480840602,0.9610964038
64,0.708984375,-1.3330078125,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.50764217082,0.52468737066,0.50764217082,0.52468737066
65,0.380859375,1.474609375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
66,-1.2880859375,-0.8369140625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.5929030785,0.97357906882,0.49288828402,0.09764590092
67,1.5283203125,-0.2548828125,1,1,32768,0,0,0,32896,50000000000,50000000000,0.02143440644,0.08712329164,0.0,0.0
68,-0.962890625,1.2314453125,2,2,3,0,0,33408,3,50000000000,50000000000,0.76199581548,0.22631065714,0.0,0.0
69,-0.1220703125,-1.5712890625,5,5,49921,2,33280,33408,50049,50000000000,50000000000,0.4958408572,0.51440150828,0.49581848286,0.51250345398
70,1.1611328125,1.0849609375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
71,-1.6025390625,-0.015625,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.99974826254,0.9682274134,0.9996937725,0.96439356858
72,1.201171875,-1.0791015625,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.50397389064,0.81989575486,0.50397389064,0.81989575486
73,-0.158203125,1.6201171875,1,1,1,0,0,0,1,50000000000,50000000000,0.30925846872,0.22959212134,0.0,0.0
74,-0.9853515625,-1.3125,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.60264668774,0.50464648616,0.6026141664,0.50199408832
75,1.6259765625,0.3037109375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
76,-1.4150390625,0.880859375,3,3,515,1,512,33408,515,50000000000,50000000000,0.8109958707,0.96421009628,0.16205426528,0.95946097234
77,0.4521484375,-1.6171875,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.5004862003,0.52160229398,0.50047961166,0.52097502052
78,0.765625,1.5087890625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
79,-1.595703125,-0.6005859375,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.98456556846,0.97529313568,0.78458334254,0.00128166616
80,1.59375,-0.6396484375,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.4491756461,0.60669531548,0.4491756461,0.60669531548
81,-0.7490234375,1.5595703125,2,2,3,0,0,33408,3,50000000000,50000000000,0.67508783176,0.18265857496,0.0,0.0
82,-0.5048828125,-1.66796875,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.5482754937,0.56850149114,0.54824625536,0.56597943072
83,1.509765625,0.89453125,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
84,-1.73046875,0.3623046875,3,3,515,1,512,33408,515,50000000000,50000000000,0.99327872422,0.96665934666,0.95371967164,0.96273007504
85,1.0380859375,-1.4462890625,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.50153766316,0.77679988576,0.50153766316,0.77679988576
86,0.212890625,1.7802734375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
87,-1.369140625,-1.1767578125,7,7,49987,2,33280,33408,50115,50000000000,50000000000,0.94439273776,0.84443219168,0.54461062016,0.55053101286
88,1.81640625,-0.0576171875,1,1,32768,0,0,0,32896,50000000000,50000000000,0.0029958897,0.01769347066,0.0,0.0
89,-1.3095703125,1.2783203125,2,2,3,0,0,33408,3,50000000000,50000000000,0.79042432142,0.17574457588,0.0,0.0
90,0.103515625,-1.83984375,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.5041195969,0.52432735246,0.5041131066,0.52370018566
91,1.1748046875,1.435546875,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
92,-1.84765625,-0.2666015625,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.99976909088,0.97405993166,0.99972656822,0.00128330508
93,1.552734375,-1.05859375,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.49825502842,0.63450301372,0.49825502842,0.63450301372
94,-0.43359375,1.8408203125,1,1,1,0,0,0,1,50000000000,50000000000,0.29758120928,0.21244070194,0.0,0.0
95,-0.9306640625,-1.6611328125,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.56296668658,0.58168009978,0.56293741146,0.57915432436
96,1.8193359375,0.599609375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
97,-1.7578125,0.7919921875,3,3,515,1,512,33408,515,50000000000,50000000000,0.75172646448,0.96559502898,0.16201071246,0.96115173692
98,0.7666015625,-1.7822265625,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.50070691884,0.52304279314,0.50070691884,0.52304279314
99,0.642578125,1.84375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
100,-1.73046875,-0.9306640625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.94572366488,0.97554497652,0.34604855688,0.00128196868
