# replicates_f2_e4.csv -- memory-two Wright-Fisher run f2_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files f2_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 9000000 (runs.csv), isl from games_f2_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_f2_e4.csv within 5.5e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
14,1,9014091,0.9991962,0.00037567,0.0,1.691e-05,1.299e-05,0.99959384,1.6e-07,4.3e-07,57611,6,0.03118422,0.9994481
14,2,9014092,0.99915647,0.00038089,0.0,1.694e-05,1.272e-05,0.99958924,1.6e-07,4e-08,33513,6,0.03637661,0.9989847
14,3,9014093,0.99919913,0.00038904,0.0,1.755e-05,1.389e-05,0.99957931,1.7e-07,3e-08,25551,6,0.03494454,0.999598
14,4,9014094,0.99916222,0.00038821,0.0,1.739e-05,1.295e-05,0.99958123,1.6e-07,5e-08,13673,6,0.02988434,0.9986392
14,5,9014095,0.99914135,0.00036523,0.0,1.714e-05,1.27e-05,0.99960469,1.6e-07,8e-08,33145,6,0.04907299,0.9992483
14,6,9014096,0.99919069,0.00037111,0.0,1.758e-05,1.337e-05,0.99959691,1.6e-07,8.8e-07,14057,6,0.02643028,0.998973
14,7,9014097,0.99913886,0.00035896,0.0,1.693e-05,1.146e-05,0.99961244,1.7e-07,3e-08,43417,6,0.03654563,0.9994241
14,8,9014098,0.99918725,0.00036938,0.0,1.737e-05,1.311e-05,0.99959977,1.7e-07,2.1e-07,24441,6,0.03762817,0.999624
14,9,9014099,0.99920508,0.00034978,0.0,1.674e-05,1.14e-05,0.99962182,1.7e-07,9e-08,58201,6,0.03258764,0.9994243
14,10,9014100,0.99914904,0.00037433,0.0,1.717e-05,1.334e-05,0.99959465,1.5e-07,3.6e-07,37021,6,0.03012306,0.9992482
15,1,9014121,0.97891531,0.21704247,0.01933535,0.50508318,0.00782578,0.23854777,0.01126371,0.00090173,8364,2,0.28200871,0.9951086
15,2,9014122,0.97147694,0.3684105,0.04173998,0.19043587,0.0194792,0.37950299,4.5e-07,0.000431,8421,2,0.09282095,0.9951585
15,3,9014123,0.98183621,0.26795676,0.02813828,0.41198051,0.01988568,0.25425541,0.01778319,1.7e-07,8948,2,0.21136113,0.9953074
15,4,9014124,0.96727958,0.31912007,0.02192306,0.24568746,0.01551321,0.39531524,0.00244086,1e-07,8420,2,0.10415359,0.9951086
15,5,9014125,0.97589717,0.33112731,0.01874365,0.36479228,0.02243147,0.24892579,0.01397935,1.5e-07,8421,2,0.12233532,0.9951585
15,6,9014126,0.97005258,0.43537069,0.03542909,0.14880703,0.04311249,0.33062231,0.00665674,1.65e-06,8868,2,0.05232222,0.9951086
15,7,9014127,0.96965144,0.34519299,0.03586896,0.11605898,0.03990354,0.41872452,0.04245302,0.001798,37931,6,0.02449744,0.9995993
15,8,9014128,0.97763859,0.36857801,0.03570514,0.12913986,0.03467393,0.39180885,0.03170654,0.00838767,15107,0,0.03647971,0.9954073
