# replicates_dw4_e4.csv -- memory-two Wright-Fisher run dw4_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files dw4_e4.{idx,win} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 11000000 (runs.csv), isl from games_dw4_e4.csv
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,top,top_atom,top_share,top_selfpay
26,10,11014460,32905,6,0.10500438,0.9995499
27,1,11014481,52703,6,0.03988742,0.9995576
27,2,11014482,14287,6,0.02869067,0.9995575
27,3,11014483,59343,6,0.05069229,0.9995576
27,4,11014484,44511,6,0.08092235,0.9995576
27,5,11014485,49119,6,0.02227855,0.9997787
27,6,11014486,44447,6,0.068633,0.9997786
27,7,11014487,40799,6,0.02294615,0.9997787
27,8,11014488,57055,6,0.04619875,0.9993366
27,9,11014489,56287,6,0.04327173,0.9997787
27,10,11014490,39903,6,0.03734087,0.9997787
28,1,11014511,50635,6,0.13789684,1.1521829
28,2,11014512,52683,6,0.1170769,1.1521525
28,3,11014513,55821,6,0.13487625,1.1520525
28,4,11014514,54731,6,0.47905557,1.1521829
28,5,11014515,48587,6,0.09750306,1.1521525
28,6,11014516,48589,6,0.17360743,1.1521525
28,7,11014517,48587,6,0.1267093,1.1521525
28,8,11014518,46283,6,0.15128393,1.1520525
28,9,11014519,56779,6,0.43063165,1.1521525
28,10,11014520,50635,6,0.25062397,1.1521829
29,1,11014541,33167,6,0.05386316,0.9992604
29,2,11014542,37067,6,0.06583543,0.9994301
29,3,11014543,32973,6,0.06848839,0.9994301
29,4,11014544,37259,6,0.06588009,0.9992603
29,5,11014545,33231,6,0.07609439,0.9990908
29,6,11014546,37071,6,0.06604394,0.9994301
29,7,11014547,33163,6,0.0710767,0.9992603
29,8,11014548,32777,6,0.04716833,0.9994301
29,9,11014549,32975,6,0.06782902,0.9994301
29,10,11014550,37071,6,0.04179228,0.9994301
30,1,11014571,50431,7,0.01149319,0.9997399
30,2,11014572,56575,7,0.01752081,0.9997399
30,3,11014573,48639,7,0.02216841,0.9998699
30,4,11014574,46079,7,0.01319456,0.9997399
30,5,11014575,15359,7,0.01351342,0.9998049
30,6,11014576,32255,7,0.01310004,0.9998699
30,7,11014577,63455,7,0.0179312,0.9998699
30,8,11014578,29951,7,0.01940354,0.9997399
30,9,11014579,40447,7,0.01910068,0.9998699
30,10,11014580,63231,7,0.01438411,0.9997399
31,1,11014601,51979,6,0.08646102,1.0882436
31,2,11014602,51714,6,0.15216642,1.0879262
31,3,11014603,51748,6,0.08618292,1.0879263
31,4,11014604,52002,6,0.06548787,1.0881104
31,5,11014605,51715,6,0.08816386,1.0879595
31,6,11014606,52002,6,0.21305941,1.0881104
31,7,11014607,51971,6,0.15639339,1.0881437
31,8,11014608,51978,6,0.080325,1.0881437
31,9,11014609,51978,6,0.10203092,1.0881437
31,10,11014610,51716,6,0.1716252,1.0879262
32,1,11014631,55695,6,0.04568491,0.9990648
32,2,11014632,51679,6,0.05318546,0.9997546
32,3,11014633,36047,6,0.11775835,0.99911
32,4,11014634,55247,6,0.03985831,0.9995095
32,5,11014635,33759,6,0.04287645,0.9997547
32,6,11014636,64719,6,0.02969802,0.9993098
32,7,11014637,55711,6,0.0538197,0.9997546
32,8,11014638,33631,6,0.03078303,0.9997547
32,9,11014639,54751,6,0.02969836,0.9992646
32,10,11014640,33247,6,0.03670676,0.9997546
33,1,11014661,59135,7,0.01714886,0.9999923
33,2,11014662,65535,7,0.03379217,0.9999962
33,3,11014663,65023,7,0.02491268,0.9999962
