# The 22872 cells of the arrangement of the 254 lines of m2_lines.csv over the plane of games (u, v).  A cell is
# an open convex region on which no line vanishes; it is identified by its sign vector.
# cell: index 0..22871 (numbered by first appearance in m2_faces.csv).
# sides: the sign vector as a hexadecimal integer, 0x followed by 64 hex digits: bit j (value 2^j) is 1 if
# A_j u + B_j v > C_j on the cell and 0 if A_j u + B_j v < C_j, for line j of m2_lines.csv.
# Read it with int(s, 16) >> j & 1.
cell,sides
284,0x3ffffffffffffffffffffffffffffbffffffffffffffc2fdfffffe7ffbd98e63
285,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fdfffffe7ffbd98e63
286,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe7ffbd98e63
287,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffffe7ffbd98e63
288,0x3ffffffffffffffffffffffffffff9ffffffffffffffc0fcfffffe7ffbd98e63
289,0x3fffffffffffffffbffffffffffff9ffffffffffffffc0fcfffffe7ffbd98e63
290,0x3ffffffffffffffffffffffffffff9ffffffffffffffc07cfffffe7ffbd98e63
291,0x3ffffffffffffffffffffffffffff9ffffffffffffffc074fffffe7ffbd98e63
292,0x3fffffffffffffffbffffffffffff9ffffffffffffffc07cfffffe7ffbd98e63
293,0x3fffffffffffffffbffffffffffff9ffffffffffffffc074fffffe7ffbd98e63
294,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe3febd98e67
295,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffffe3febd98e67
296,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffefe3febd98e67
297,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfefefe3febd98e67
