# The 27598 polygons of the memory-two arrangement drawn in Figures 1c, 2h-n and 3e-h (they draw its 22872 faces, the
# cells of m2_cells.csv), in the order of m2_faces_k4.npz, with the counts over the 65536 binary memory-two
# strategies on each.  The columns call a polygon a face, as the companion drawing does.
# Conventions: a game is (R, S, T, P) = (1, u, 1 + v, 0); the limit eps -> 0.  An atom is written
# efficient-stable-competitive; A_xyz is the number of strategies in atom xyz, in the order 000 100 010 001 110 011
# 111 (the atom 101 is empty everywhere, so the seven add up to the number of strategies).
# face: index 0..27597.  cell: the cell of m2_cells.csv the face lies in (a cell is one face, or, for 771 cells,
# several bands of it: the companion work cut them for a field it draws; every count below is constant on a cell).
# u, v: a game strictly inside the face (a convex combination of its vertices mapped to the plane, with the weights
# 1 + 0.1 sin(j + 1) of fig1.py; repr of a double).  quadrant: PD (u < 0 < v), SD (u, v > 0), SH (u, v < 0), HA
# (v < 0 < u).  wedge: W (u+v < 1, u-v < 1), S (u+v < 1, u-v > 1), N (u+v > 1, u-v < 1), E (u+v > 1, u-v > 1).
# nash: the number of stable strategies on the face (299 to 22069).  partners: efficient and stable (8 to 7639).
# A_000 ... A_111: the atoms.  case: the case number of Figure 1 (cases.csv), the set of non-empty atoms.
face,cell,u,v,quadrant,wedge,nash,partners,A_000,A_100,A_010,A_001,A_110,A_011,A_111,case
154,154,1.887609179978417,0.4338038573005172,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
155,155,1.9460901465287417,0.4027927603474563,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
156,156,1.8021533472386324,0.4292646488319947,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
157,157,1.8151045808015176,0.4129036838897191,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
158,158,2.0366297946513017,0.37722862901551196,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
159,159,1.9707658430408237,0.3900941260637302,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
160,160,1.881362937833197,0.3930291256710561,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
161,161,1.758841305620996,0.4856076689207086,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
162,162,1.6288735009065596,0.4799514554570606,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
163,163,1.7408229166082057,0.4122595306717776,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
164,164,1.6081435070376013,0.4556445109646165,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
165,165,1.6350866324030124,0.4297578503567954,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
166,166,4.285103732743226,0.1363783988196479,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
167,167,3.919495878727658,0.15520054456986385,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
168,168,3.773794302564958,0.16359781753963937,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
169,169,3.710079758159721,0.1648275740443826,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
170,170,4.348681135198809,0.10688371006256892,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
171,171,4.019841149876775,0.12855846924903486,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
172,172,3.7674758156371997,0.15759818643143195,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
173,173,3.7224655185348334,0.16059787265615783,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
174,174,3.316517212325886,0.203289077402688,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
