# The memory-one Wright-Fisher run m1_N100 whole: N = 100, beta = 3, mu = 1e-4, eps = 1e-4, 10 replicates of 1e8
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw2_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N100.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
111,50000000000,324207,343297,324601,399731,377132,7343035,377633,25343272068,320285,358072,320922,505012,375928,8684587,375789,24636297701
112,50000000000,6655079,6590416,49806689961,29555643,390678,389079,562417,1407762,10570020,20506820,31390073,41496561,806919,807035,17249036,24932501
113,50000000000,25271785065,24699047496,448401,452463,9328936,15216482,364349,385875,379389,426497,327151,352491,379126,427444,327051,351784
114,50000000000,390341,502862,389769,1072450,1412617,16464252,3053922,23037600607,403914,29532237,769338,95861103,2146996,4186787321,6104415,22617507856
115,50000000000,15412030195,14536181032,1738711448,231415259,2914710712,6027444147,11332155,78817010,865491782,741245090,226623097,101477043,4998584055,1803347024,244150769,68439182
116,50000000000,325254,346190,324282,406654,383221,6427505,384442,24995420040,322473,361322,322496,520545,383009,7211063,383638,24986477866
117,50000000000,103187394,10811933,2252534936,229586251,255970883,31176562,2385124,12785029,141959364,1382721,14668019983,27543775438,1672422635,3043093955,3444029,27463763
118,50000000000,14591028822,14709936907,138599997,1448800919,131926019,2132976282,19702999,187084864,571866156,15653820262,57688185,165493123,38352757,21742190,38014743,92965775
119,50000000000,327386,350295,327190,420652,394876,8621642,394042,24713634550,324373,372426,324676,549265,395926,10936671,395799,25262230231
120,50000000000,13684942103,9874876570,19454914888,164467730,229600623,130957846,2703152,8058516,60577496,1126675341,1976010864,236450333,937213355,2011487571,55343851,45719761
